data_type,algo,train.val,mean_auc,median_auc,std_auc
CLN,avg,0,0.7563272727272727,0.7567727272727273,0.004201578259587918
CLN,avg,1,0.7749037267080746,0.7763923395445135,0.00935395450087831
CLN,lr,0,0.7463363636363637,0.7452272727272727,0.0064783385619628904
CLN,lr,1,0.7746107660455486,0.7748511904761904,0.010152166137014263
CLN,svc,0,0.7459681818181818,0.7473409090909091,0.006071696292451465
CLN,svc,1,0.7634871894409938,0.763258281573499,0.011010534795633058
CLN,xgb,0,0.7449227272727273,0.7495681818181819,0.012271381332855125
CLN,xgb,1,0.7669543219461697,0.7673673654244306,0.006778400239302671
CLN_MET,avg,0,0.7644272727272727,0.7654090909090909,0.005701328120044936
CLN_MET,avg,1,0.7686030020703933,0.7720419254658386,0.018535857336587396
CLN_MET,lr,0,0.7458545454545454,0.7426363636363637,0.007473516142096067
CLN_MET,lr,1,0.7729187370600414,0.7748498964803312,0.009743510449264824
CLN_MET,svc,0,0.7536363636363637,0.7570454545454545,0.0076822216139356215
CLN_MET,svc,1,0.7440905797101449,0.7433385093167701,0.020809728485563807
CLN_MET,xgb,0,0.7454181818181819,0.7457954545454546,0.009714822580869772
CLN_MET,xgb,1,0.7664237836438923,0.769705615942029,0.01063819336375225
CLN_MIR,avg,0,0.7519454545454545,0.7500454545454546,0.0037360576443308223
CLN_MIR,avg,1,0.7753426501035197,0.7766045548654243,0.017192415606440282
CLN_MIR,lr,0,0.7360727272727272,0.7388636363636364,0.006737884068931036
CLN_MIR,lr,1,0.7805178571428572,0.7843180641821946,0.013683533244290901
CLN_MIR,svc,0,0.7429,0.7446363636363637,0.0027959205491522544
CLN_MIR,svc,1,0.7447580227743271,0.752324016563147,0.019432319528170868
CLN_MIR,xgb,0,0.7457,0.7442272727272727,0.013907526154803979
CLN_MIR,xgb,1,0.7698165113871636,0.769702380952381,0.01271469876124386
CLN_MIR_MET,avg,0,0.756109090909091,0.7562272727272727,0.005822883201533073
CLN_MIR_MET,avg,1,0.7712895962732919,0.7752368012422359,0.019499843161343552
CLN_MIR_MET,lr,0,0.7360454545454546,0.7385,0.007420252483829878
CLN_MIR_MET,lr,1,0.7787116977225673,0.7797942546583851,0.014408381290715044
CLN_MIR_MET,svc,0,0.7437409090909091,0.7427727272727273,0.008341072164205496
CLN_MIR_MET,svc,1,0.7270043995859213,0.7308307453416149,0.025791751586452347
CLN_MIR_MET,xgb,0,0.7443227272727273,0.7435909090909091,0.010437655438651635
CLN_MIR_MET,xgb,1,0.7677978778467909,0.7671752070393375,0.011793902467316944
CLN_MTB,avg,0,0.7913,0.7920454545454545,0.00459609168419359
CLN_MTB,avg,1,0.7924966356107661,0.7900336438923395,0.01585087563691179
CLN_MTB,lr,0,0.7601818181818182,0.7568181818181818,0.016925646288862516
CLN_MTB,lr,1,0.7828227225672878,0.7798473084886128,0.01655697793918421
CLN_MTB,svc,0,0.7927454545454544,0.7937272727272726,0.0020008262755981444
CLN_MTB,svc,1,0.7769138198757763,0.7740793219461697,0.016358856943098375
CLN_MTB,xgb,0,0.7641954545454546,0.7638636363636364,0.008586700642011379
CLN_MTB,xgb,1,0.776164466873706,0.7776391045548654,0.010933454730486764
CLN_MTB_MET,avg,0,0.7974909090909091,0.7978181818181818,0.0040259032717331385
CLN_MTB_MET,avg,1,0.7862036749482402,0.7855318322981366,0.020402701656187867
CLN_MTB_MET,lr,0,0.7639545454545454,0.7558636363636364,0.02116398217288372
CLN_MTB_MET,lr,1,0.7810437370600415,0.7776863354037268,0.016106711786009486
CLN_MTB_MET,svc,0,0.7926090909090908,0.7925909090909091,0.0008143005584236547
CLN_MTB_MET,svc,1,0.7641877587991719,0.7619280538302278,0.021378664013748782
CLN_MTB_MET,xgb,0,0.763990909090909,0.7605681818181818,0.009517534926354609
CLN_MTB_MET,xgb,1,0.7770751811594203,0.7781612318840581,0.013769381692459946
CLN_MTB_MIR,avg,0,0.7805272727272727,0.7827727272727273,0.007140566863572506
CLN_MTB_MIR,avg,1,0.7912003105590062,0.7888612836438924,0.0192717407437929
CLN_MTB_MIR,lr,0,0.7455545454545455,0.742,0.0126361419935507
CLN_MTB_MIR,lr,1,0.7902375776397517,0.7897036749482402,0.016208448620849
CLN_MTB_MIR,svc,0,0.7788272727272727,0.7783636363636364,0.0033310460472042564
CLN_MTB_MIR,svc,1,0.7622945134575569,0.7576552795031055,0.020778444018946712
CLN_MTB_MIR,xgb,0,0.7637318181818181,0.7607954545454546,0.013296979537854414
CLN_MTB_MIR,xgb,1,0.7755667701863354,0.7800879917184265,0.011779384963482714
CLN_MTB_MIR_MET,avg,0,0.7865363636363637,0.7849090909090909,0.00893034467502193
CLN_MTB_MIR_MET,avg,1,0.7845038819875776,0.7740890269151139,0.024948507734679742
CLN_MTB_MIR_MET,lr,0,0.7483090909090909,0.7500909090909091,0.01104213484635584
CLN_MTB_MIR_MET,lr,1,0.7850711697722568,0.7834045031055901,0.018738978863949787
CLN_MTB_MIR_MET,svc,0,0.7831272727272728,0.7828181818181819,0.0011633759178231067
CLN_MTB_MIR_MET,svc,1,0.7503771997929607,0.7445380434782609,0.02688353962615762
CLN_MTB_MIR_MET,xgb,0,0.7662681818181818,0.7597499999999999,0.01704346048942365
CLN_MTB_MIR_MET,xgb,1,0.7763267339544513,0.7810785455486542,0.014453723962941098
CLN_MTB_PRT,avg,0,0.8009363636363636,0.8023181818181819,0.004230079441864118
CLN_MTB_PRT,avg,1,0.7722976190476191,0.7768724120082815,0.017248256075514876
CLN_MTB_PRT,lr,0,0.7635909090909092,0.7638636363636364,0.009622560153714094
CLN_MTB_PRT,lr,1,0.7717256728778468,0.7688121118012422,0.008119261139214053
CLN_MTB_PRT,svc,0,0.7964545454545455,0.7968181818181819,0.002158120462395747
CLN_MTB_PRT,svc,1,0.7353744824016564,0.7402555641821946,0.01742281431146084
CLN_MTB_PRT,xgb,0,0.7594227272727273,0.7547954545454545,0.011045112643833397
CLN_MTB_PRT,xgb,1,0.7799698498964803,0.7821648550724638,0.014211777300343275
CLN_MTB_PRT_MET,avg,0,0.8071636363636363,0.8089999999999999,0.005046851203543306
CLN_MTB_PRT_MET,avg,1,0.7711635610766046,0.7720251035196688,0.01838216768989143
CLN_MTB_PRT_MET,lr,0,0.7617727272727273,0.761090909090909,0.008353556728075919
CLN_MTB_PRT_MET,lr,1,0.77141433747412,0.7688121118012422,0.008114595311548204
CLN_MTB_PRT_MET,svc,0,0.805390909090909,0.8076363636363636,0.0043292097353865786
CLN_MTB_PRT_MET,svc,1,0.7254218426501036,0.7266420807453416,0.015110887653957473
CLN_MTB_PRT_MET,xgb,0,0.7626090909090909,0.7614545454545454,0.010131690275667559
CLN_MTB_PRT_MET,xgb,1,0.7798677536231884,0.7779988354037267,0.012898603657313993
CLN_MTB_PRT_MIR,avg,0,0.7971272727272727,0.7968181818181818,0.005300553534169294
CLN_MTB_PRT_MIR,avg,1,0.7755776397515528,0.7825866977225673,0.0185092905074876
CLN_MTB_PRT_MIR,lr,0,0.7653818181818182,0.7633636363636365,0.010399000446421046
CLN_MTB_PRT_MIR,lr,1,0.7740600414078675,0.7708359213250517,0.010014366355412252
CLN_MTB_PRT_MIR,svc,0,0.7920727272727273,0.7914999999999999,0.0020095273532984795
CLN_MTB_PRT_MIR,svc,1,0.7289733436853003,0.7262965838509317,0.01498156288645006
CLN_MTB_PRT_MIR,xgb,0,0.7647909090909091,0.7626136363636364,0.010858958884830646
CLN_MTB_PRT_MIR,xgb,1,0.7795459368530021,0.7827031573498966,0.01375158990782579
CLN_MTB_PRT_MIR_MET,avg,0,0.8015545454545455,0.8027272727272727,0.004563891899964773
CLN_MTB_PRT_MIR_MET,avg,1,0.7672973602484472,0.7702238612836438,0.017985541230638554
CLN_MTB_PRT_MIR_MET,lr,0,0.7651454545454546,0.7633636363636365,0.01057025992384612
CLN_MTB_PRT_MIR_MET,lr,1,0.7733662008281573,0.769763198757764,0.01052707107271925
CLN_MTB_PRT_MIR_MET,svc,0,0.8008045454545455,0.8000454545454545,0.0024003605866247373
CLN_MTB_PRT_MIR_MET,svc,1,0.7218638716356107,0.7173893633540372,0.016725401998190118
CLN_MTB_PRT_MIR_MET,xgb,0,0.7625954545454545,0.7612727272727273,0.011004662381147789
CLN_MTB_PRT_MIR_MET,xgb,1,0.7790223861283645,0.7744927536231884,0.015753466307680052
CLN_PRT,avg,0,0.7764,0.7797272727272728,0.01042355529800198
CLN_PRT,avg,1,0.7684764492753623,0.7671376811594204,0.013670138584557694
CLN_PRT,lr,0,0.7463,0.7486818181818182,0.010847134671355039
CLN_PRT,lr,1,0.7674580745341615,0.7690812629399586,0.009811520578563056
CLN_PRT,svc,0,0.7631,0.7617272727272727,0.0025516519073694147
CLN_PRT,svc,1,0.7128922101449275,0.7170348084886129,0.022480247833821604
CLN_PRT,xgb,0,0.7411454545454546,0.7428636363636364,0.02084339481557687
CLN_PRT,xgb,1,0.7729332298136645,0.7750226449275364,0.013302155638221035
CLN_PRT_MET,avg,0,0.7834272727272727,0.786,0.007843165390485896
CLN_PRT_MET,avg,1,0.7645533126293996,0.7662034161490683,0.015081252665282607
CLN_PRT_MET,lr,0,0.7456454545454545,0.7486818181818182,0.010139563294425146
CLN_PRT_MET,lr,1,0.7670991200828158,0.7689311594202899,0.00951932663673816
CLN_PRT_MET,svc,0,0.7703136363636364,0.771590909090909,0.001738460577368153
CLN_PRT_MET,svc,1,0.703536231884058,0.7143788819875776,0.026833466078668093
CLN_PRT_MET,xgb,0,0.7554318181818183,0.7545909090909091,0.009758405056044412
CLN_PRT_MET,xgb,1,0.7666900879917184,0.7669584627329193,0.011291296045722276
CLN_PRT_MIR,avg,0,0.7765454545454545,0.7782272727272727,0.012342450654317752
CLN_PRT_MIR,avg,1,0.7577378364389233,0.7677833850931677,0.026308851033107237
CLN_PRT_MIR,lr,0,0.749990909090909,0.7555454545454546,0.016081944087075903
CLN_PRT_MIR,lr,1,0.7680103519668737,0.768125,0.0104539277092897
CLN_PRT_MIR,svc,0,0.7520772727272728,0.7637727272727273,0.019725725513035263
CLN_PRT_MIR,svc,1,0.707868400621118,0.7144041149068323,0.021771448452838755
CLN_PRT_MIR,xgb,0,0.7492363636363637,0.7496818181818182,0.014676943557032206
CLN_PRT_MIR,xgb,1,0.7642872670807453,0.7661781832298137,0.01860096784555855
CLN_PRT_MIR_MET,avg,0,0.7830727272727273,0.7860909090909091,0.009015525838931025
CLN_PRT_MIR_MET,avg,1,0.7433030538302278,0.7466006728778467,0.028805472394659762
CLN_PRT_MIR_MET,lr,0,0.749990909090909,0.7555454545454546,0.016081944087075903
CLN_PRT_MIR_MET,lr,1,0.7675002587991718,0.7676138716356107,0.010783823620770211
CLN_PRT_MIR_MET,svc,0,0.7665772727272727,0.7726363636363636,0.015312329157983254
CLN_PRT_MIR_MET,svc,1,0.6964805900621118,0.7069396997929607,0.02502327018413711
CLN_PRT_MIR_MET,xgb,0,0.7493545454545455,0.745590909090909,0.010395105509283076
CLN_PRT_MIR_MET,xgb,1,0.7632326604554865,0.7649527691511387,0.01442000862988323
MET,avg,0,0.5261636363636363,0.53,0.0300901553202915
MET,avg,1,0.5409263716356107,0.5451526915113871,0.02489052005135448
MET,lr,0,0.5046090909090909,0.5,0.010201104569371981
MET,lr,1,0.5084109730848861,0.5,0.01655023242236597
MET,svc,0,0.48255454545454535,0.4829090909090909,0.07352342567541767
MET,svc,1,0.48091511387163555,0.48791925465838504,0.05103472445033562
MET,xgb,0,0.5342227272727272,0.5405681818181818,0.023374918177746517
MET,xgb,1,0.5476639492753623,0.555585533126294,0.019788480622122927
MIR,avg,0,0.6529454545454546,0.6523181818181818,0.009310104900583604
MIR,avg,1,0.6572758799171843,0.6647800207039336,0.028272804859814083
MIR,lr,0,0.6388909090909091,0.6405000000000001,0.00798101512262143
MIR,lr,1,0.638858436853002,0.6371376811594203,0.02396095549941351
MIR,svc,0,0.63775,0.6409545454545456,0.0074299375188164795
MIR,svc,1,0.5040267857142857,0.5045251035196687,0.08547010075016857
MIR,xgb,0,0.6268863636363636,0.6316363636363636,0.024402908665392662
MIR,xgb,1,0.654629917184265,0.6598913043478261,0.02998974431464116
MTB,avg,0,0.7815636363636363,0.7766363636363636,0.012451323036638198
MTB,avg,1,0.7435659937888198,0.7452510351966875,0.028611212147380004
MTB,lr,0,0.762381818181818,0.7639090909090909,0.0030256934637598754
MTB,lr,1,0.7464010093167702,0.7403571428571429,0.013505528258205326
MTB,svc,0,0.7615318181818183,0.7650909090909092,0.014707198096490137
MTB,svc,1,0.6959827898550726,0.6910119047619048,0.021726252981555352
MTB,xgb,0,0.7434681818181818,0.7488863636363636,0.0191399568353328
MTB,xgb,1,0.7530499482401656,0.7547729037267081,0.014177818939857588
PRT,avg,0,0.6430454545454546,0.6506363636363637,0.022469620343562514
PRT,avg,1,0.6422217908902692,0.6420173395445135,0.024271052609712095
PRT,lr,0,0.643490909090909,0.6472272727272728,0.01784646281698568
PRT,lr,1,0.6358894927536232,0.6344241718426501,0.02630106753669468
PRT,svc,0,0.6591545454545454,0.672409090909091,0.026257337074226873
PRT,svc,1,0.5654126552795031,0.5657032867494824,0.03857914153174017
PRT,xgb,0,0.5878954545454544,0.5919090909090909,0.02646592009619366
PRT,xgb,1,0.6480216097308489,0.643743530020704,0.02479612248469877
